NETWORK DATA - Epoca 10000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00474771001199626 - Tempo Execucao 0,5547784 [s].
NETWORK DATA - Epoca 20000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,001640680196904801 - Tempo Execucao 1,112619 [s].
NETWORK DATA - Epoca 30000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0009427139131267927 - Tempo Execucao 1,6360626 [s].
NETWORK DATA - Epoca 40000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0006485730269416427 - Tempo Execucao 2,1600711 [s].
NETWORK DATA - Epoca 50000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0004893386202850251 - Tempo Execucao 2,7000758 [s].
NETWORK DATA - Epoca 60000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00039047240242063327 - Tempo Execucao 3,2180879 [s].
NETWORK DATA - Epoca 70000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00032351601909844 - Tempo Execucao 3,7400141 [s].
NETWORK DATA - Epoca 80000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0002753620177440453 - Tempo Execucao 4,2584441 [s].
NETWORK DATA - Epoca 90000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,000239170415035571 - Tempo Execucao 4,7778974 [s].
NETWORK DATA - Epoca 100000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0002110373260559301 - Tempo Execucao 5,3035684 [s].
NETWORK DATA - Epoca 110000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00018857874283359502 - Tempo Execucao 5,8303706 [s].
NETWORK DATA - Epoca 120000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,0001702596982162947 - Tempo Execucao 6,4103199 [s].
NETWORK DATA - Epoca 130000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00015504890554139813 - Tempo Execucao 6,9603613 [s].
NETWORK DATA - Epoca 140000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,000142228746873659 - Tempo Execucao 7,5035794 [s].
NETWORK DATA - Epoca 150000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00013128502355345796 - Tempo Execucao 8,0265366 [s].
NETWORK DATA - Epoca 160000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00012183997606119031 - Tempo Execucao 8,5481496 [s].
NETWORK DATA - Epoca 170000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00011361007740622999 - Tempo Execucao 9,074215 [s].
NETWORK DATA - Epoca 180000 - Neuronios 100 - Iteracoes 1000000 - Erro 0,00010637850541435539 - Tempo Execucao 9,6034758 [s].
NETWORK DATA - Epoca 190000 - Neuronios 100 - Iteracoes 1000000 - Erro 9,997672240742982E-05 - Tempo Execucao 10,1324646 [s].
NETWORK DATA - Epoca 200000 - Neuronios 100 - Iteracoes 1000000 - Erro 9,427179984740063E-05 - Tempo Execucao 10,6963073 [s].
NETWORK DATA - Epoca 210000 - Neuronios 100 - Iteracoes 1000000 - Erro 8,915753293244103E-05 - Tempo Execucao 11,2496689 [s].
NETWORK DATA - Epoca 220000 - Neuronios 100 - Iteracoes 1000000 - Erro 8,454808778784575E-05 - Tempo Execucao 11,7775961 [s].
NETWORK DATA - Epoca 230000 - Neuronios 100 - Iteracoes 1000000 - Erro 8,037335645505136E-05 - Tempo Execucao 12,3046023 [s].
NETWORK DATA - Epoca 240000 - Neuronios 100 - Iteracoes 1000000 - Erro 7,657553578553408E-05 - Tempo Execucao 12,8466291 [s].
NETWORK DATA - Epoca 250000 - Neuronios 100 - Iteracoes 1000000 - Erro 7,310655131631724E-05 - Tempo Execucao 13,3881567 [s].
NETWORK DATA - Epoca 260000 - Neuronios 100 - Iteracoes 1000000 - Erro 6,992610700254653E-05 - Tempo Execucao 13,9979269 [s].
NETWORK DATA - Epoca 270000 - Neuronios 100 - Iteracoes 1000000 - Erro 6,700018038498024E-05 - Tempo Execucao 14,5374144 [s].
NETWORK DATA - Epoca 280000 - Neuronios 100 - Iteracoes 1000000 - Erro 6,429985056137349E-05 - Tempo Execucao 15,0782823 [s].
NETWORK DATA - Epoca 290000 - Neuronios 100 - Iteracoes 1000000 - Erro 6,180038452556765E-05 - Tempo Execucao 15,6382931 [s].
NETWORK DATA - Epoca 300000 - Neuronios 100 - Iteracoes 1000000 - Erro 5,948050784987436E-05 - Tempo Execucao 16,1862283 [s].
NETWORK DATA - Epoca 310000 - Neuronios 100 - Iteracoes 1000000 - Erro 5,7321824907449595E-05 - Tempo Execucao 16,7452863 [s].
